Steam ID,Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
Steam ID,Potado Kush,72,4,18,31,1.31,0.07,1,2,0,0,23.00,8.00,=KSK-DARKCLOUD: 2,jkhayes2002: 5,"37MM CANNON [Stuart M5A1]: 29, 75MM CANNON [Sherman M4A3(75)W]: 28, COAXIAL M1919 [Stuart M5A1]: 8, COAXIAL M1919 [Sherman M4A3(75)W]: 7",https://server2.82nd.gg/#/gamescoreboard/29995
Steam ID,ReactNative,86,1,86,70,1.3,0.02,1,8,0,0,10.00,10.00,Bizzy: 1,Timi9: 6,"155MM HOWITZER [M114]: 85, S-MINE: 1",https://server2.82nd.gg/#/gamescoreboard/29993
Steam ID,SlavTheTom,67,3,22.33,29,0.9,0.04,1,0,1,1,29.00,5.00,rjma730: 2,[82ADR] MUSTANG_1944: 4,"COAXIAL DT [BA-10]: 27, 19-K 45MM [BA-10]: 22, 76MM ZiS-5 [T34/76]: 12, COAXIAL DT [T34/76]: 6",https://server2.82nd.gg/#/gamescoreboard/29986
Steam ID,SharpY--,78,26,3,17,0.89,0.3,3,0,0,0,16.00,0.00,Flaerp: 7,209: 6,"GEWEHR 43: 77, M43 STIELHANDGRANATE: 1",https://server2.82nd.gg/#/gamescoreboard/29977
Steam ID,[ARC] Spartan117,65,4,16.25,50,0.73,0.05,2,0,0,0,43.00,4.00,[82AD] unnerum: 1,[82AD] Mr-Bash: 5,"76MM M1 GUN [Sherman M4A3E2(76)]: 51, COAXIAL M1919 [Sherman M4A3E2(76)]: 11, 75MM CANNON [Sherman M4A3(75)W]: 3",https://server2.82nd.gg/#/gamescoreboard/29976
Steam ID,[ARC] Praday,76,40,1.9,12,0.86,0.45,5,0,0,0,6.00,1.00,[82ADr] ahliis: 5,[82ADr] Staed: 10,"M1 GARAND: 62, M1A1 THOMPSON: 11, SATCHEL: 2, M97 TRENCH GUN: 1",https://server2.82nd.gg/#/gamescoreboard/29976
Steam ID,[ARC] MaTej ★ツ,75,30,2.5,9,0.84,0.34,3,0,0,0,8.00,0.00,[82AD] Hellbro: 3,[82AD] Thorpie: 7,"M1 GARAND: 72, MK2 GRENADE: 3",https://server2.82nd.gg/#/gamescoreboard/29976
Steam ID,[ARC] Ciro,81,19,4.26,34,0.92,0.21,5,4,0,0,18.00,1.00,[82AD] unnerum: 9,[82AD] Di0six: 9,"155MM HOWITZER [M114]: 77, M1A1 THOMPSON: 3, M1 GARAND: 1",https://server2.82nd.gg/#/gamescoreboard/29976
Steam ID,[ARC] Blee Hat,114,11,10.36,42,1.3,0.13,2,0,0,0,39.00,0.00,[82AD] Starlord: 5,[82AD] Poni: 29,"M1 GARAND: 107, M6 37mm [M8 Greyhound]: 7",https://server2.82nd.gg/#/gamescoreboard/29976
Steam ID,[82AD] ViceCop,75,46,1.63,8,0.86,0.53,5,3,2,1,7.00,0.00,[ARC] DAGOBAIR: 4,[126]FataGliz: 9,"GEWEHR 43: 65, M43 STIELHANDGRANATE: 5, MP40: 3, KARABINER 98K: 2",https://server2.82nd.gg/#/gamescoreboard/29976
Steam ID,Vini,66,23,2.87,13,0.75,0.26,4,0,1,1,11.00,1.00,Blitz: 4,Tookling: 6,"SVT40: 34, 122MM HOWITZER [M1938 (M-30)]: 20, PPSH 41 W/DRUM: 11, PPSH 41: 1",https://server2.82nd.gg/#/gamescoreboard/29961
Steam ID,Wusel,72,13,5.54,22,0.81,0.15,3,2,0,0,27.00,1.00,(WTH)BelgianHitman: 4,Vendetta: 4,"M1 GARAND: 39, BOMBING RUN: 24, STRAFING RUN: 8, UNKNOWN: 1",https://server2.82nd.gg/#/gamescoreboard/29947
Steam ID,SGT.Hagrid,105,3,35,53,1.21,0.03,1,4,2,1,47.00,-3.00,cOma: 1,Stanok: 7,"75MM CANNON [Sd.Kfz.171 Panther]: 69, COAXIAL MG34 [Sd.Kfz.171 Panther]: 28, WALTHER P38: 4, 50mm KwK 39/1 [Sd.Kfz.234 Puma]: 3, COAXIAL MG34 [Sd.Kfz.234 Puma]: 1",https://server2.82nd.gg/#/gamescoreboard/29944
Steam ID,Μιχαήλ,82,22,3.73,12,0.94,0.25,3,0,2,1,9.00,1.00,fractial: 2,alwaysAnoob: 7,"KARABINER 98K: 71, PANZERSCHRECK: 5, MG42: 4, M43 STIELHANDGRANATE: 2",https://server2.82nd.gg/#/gamescoreboard/29941
Steam ID,TrashPanda,76,5,15.2,39,0.99,0.07,2,8,0,0,34.00,4.00,CaseyxBrez: 3,preston: 3,"75MM CANNON [Sd.Kfz.171 Panther]: 43, COAXIAL MG34 [Sd.Kfz.171 Panther]: 18, BOMBING RUN: 11, 20MM KWK 30 [Sd.Kfz.121 Luchs]: 2, UNKNOWN: 1, COAXIAL MG34 [Sd.Kfz.121 Luchs]: 1",https://server2.82nd.gg/#/gamescoreboard/29933
Steam ID,Seymour,69,13,5.31,51,0.91,0.17,5,4,2,1,24.00,0.00,Super Peanut: 4,Lou Sassle: 5,"155MM HOWITZER [M114]: 66, M1A1 THOMPSON: 3",https://server2.82nd.gg/#/gamescoreboard/29933
Steam ID,wiisports,81,31,2.61,18,0.92,0.35,3,1,2,1,13.00,0.00,Chocolate_Senpai: 5,ronald mcdonald: 5,"STG44: 72, KARABINER 98K: 7, M43 STIELHANDGRANATE: 2",https://server2.82nd.gg/#/gamescoreboard/29930
Steam ID,taktuk07,85,22,3.86,30,0.98,0.25,5,1,0,0,18.00,0.00,MasterofPuppets: 6,Punx: 8,"155MM HOWITZER [M114]: 65, M1 GARAND: 19, UNKNOWN: 1",https://server2.82nd.gg/#/gamescoreboard/29917
Steam ID,SMT,137,8,17.12,38,1.6,0.09,1,1,0,0,24.00,1.00,Maxmarius: 2,Abassi: 12,"KARABINER 98K x8: 127, WALTHER P38: 5, STG44: 4, UNKNOWN: 1",https://server2.82nd.gg/#/gamescoreboard/29913
Steam ID,Swordy084,65,0,65,65,1.26,0,0,5,0,0,0.00,167.00,,Hans: 6,155MM HOWITZER [M114]: 65,https://server2.82nd.gg/#/gamescoreboard/29900
Steam ID,STRUTCH FARM,66,27,2.44,13,0.76,0.31,4,0,1,1,12.00,0.00,Secret: 7,derschaufler: 9,"M1 GARAND: 60, MK2 GRENADE: 5, M3 KNIFE: 1",https://server2.82nd.gg/#/gamescoreboard/29884
Steam ID,Witus,82,25,3.28,22,0.94,0.29,3,0,1,1,9.00,1.00,WrathEffect: 3,Stanok: 8,"SVT40: 81, UNKNOWN: 1",https://server2.82nd.gg/#/gamescoreboard/29840
Steam ID,Y33T_CMAN,75,9,8.33,25,0.99,0.12,2,0,0,0,15.00,2.00,PK.01: 2,[18ª] Hozico: 11,"MG42: 74, UNKNOWN: 1",https://server2.82nd.gg/#/gamescoreboard/29823
Steam ID,Punkreas,72,24,3,22,0.9,0.3,2,0,1,1,11.00,-1.00,IXxxVASHxxXI: 2,dexterrrrrrrr: 4,"M1 GARAND: 63, 155MM HOWITZER [M114]: 7, UNKNOWN: 1, MK2 GRENADE: 1",https://server2.82nd.gg/#/gamescoreboard/29819
Steam ID,Vyper,65,5,13,25,0.75,0.06,1,4,0,0,19.00,7.00,RagingSuppon: 2,[ITA]=BIA=Whitespiri: 5,"75MM CANNON [Sherman M4A3(75)W]: 24, 37MM CANNON [Stuart M5A1]: 23, COAXIAL M1919 [Stuart M5A1]: 9, COAXIAL M1919 [Sherman M4A3(75)W]: 5, 76MM M1 GUN [Sherman M4A3E2(76)]: 3, M1A1 AT MINE: 1",https://server2.82nd.gg/#/gamescoreboard/29814
Steam ID,Ronan10th,68,5,13.6,32,1.27,0.09,1,0,0,0,18.00,3.00,Holywhite: 1,XxWoodPiecexX: 6,"M1 GARAND: 65, BAZOOKA: 3",https://server2.82nd.gg/#/gamescoreboard/29808
Steam ID,Wolfigy,78,25,3.12,31,0.87,0.28,5,5,0,0,17.00,0.00,Bambo: 13,mden0896: 13,"150MM HOWITZER [sFH 18]: 53, KARABINER 98K: 20, S-MINE: 5",https://server2.82nd.gg/#/gamescoreboard/29798
Steam ID,Wielogłów,70,17,4.12,42,0.79,0.19,8,6,0,0,24.00,0.00,Bambo: 9,Herppes: 6,"150MM HOWITZER [sFH 18]: 63, MP40: 7",https://server2.82nd.gg/#/gamescoreboard/29798
Steam ID,Moomin,66,30,2.2,12,0.76,0.34,5,0,0,0,12.00,1.00,Herppes: 3,Gabbo: 5,"MG42: 64, UNKNOWN: 1, LUGER P08: 1",https://server2.82nd.gg/#/gamescoreboard/29798
Steam ID,Minazuki Ruka,77,39,1.97,15,0.86,0.43,4,0,1,1,9.00,0.00,Moomin: 3,marcustapper: 6,"M1 GARAND: 73, MK2 GRENADE: 3, UNKNOWN: 1",https://server2.82nd.gg/#/gamescoreboard/29798
Steam ID,Roolius,84,21,4,25,0.95,0.24,4,1,1,1,15.00,0.00,Griff: 4,RADWIMPS_ZEN098: 4,"M1 GARAND: 80, BAZOOKA: 4",https://server2.82nd.gg/#/gamescoreboard/29767
Steam ID,Кучи,88,17,5.18,20,1.18,0.23,4,2,1,1,17.00,1.00,Void | Yeet: 2,Tynir The Goon: 4,"MP40: 78, SATCHEL: 7, M43 STIELHANDGRANATE: 2, KARABINER 98K: 1",https://server2.82nd.gg/#/gamescoreboard/29726
Steam ID,PolishCowboy,65,3,21.67,53,0.79,0.04,1,5,1,1,72.00,2.00,Soup: 2,=[EVI]=--OneShot->: 5,"150MM HOWITZER [sFH 18]: 64, KARABINER 98K: 1",https://server2.82nd.gg/#/gamescoreboard/29722
Steam ID,Uncle Bunkle Beard,96,46,2.09,9,1.14,0.55,4,1,1,1,8.00,0.00,[DC] Amp: 4,marko_blanco: 10,"M1 GARAND: 93, MK2 GRENADE: 2, UNKNOWN: 1",https://server2.82nd.gg/#/gamescoreboard/29720
Steam ID,Vojvoda Stevan,72,30,2.4,16,0.81,0.34,3,0,0,0,10.00,1.00,Pouki: 4,AghastSeum97: 4,"M1903 SPRINGFIELD: 69, M2 AP MINE: 3",https://server2.82nd.gg/#/gamescoreboard/29719
Steam ID,Thicccboye,92,45,2.04,8,1.01,0.49,5,0,1,1,7.00,0.00,[82AD] Kapital: 4,Zelí: 7,"STG44: 62, MP40: 29, UNKNOWN: 1",https://server2.82nd.gg/#/gamescoreboard/29708
Steam ID,Mr Spacemufin,85,7,12.14,75,1.27,0.1,2,2,0,0,32.00,0.00,Guillete: 2,KrissTorrio: 6,"76MM M1 GUN [Sherman M4A3E2(76)]: 64, COAXIAL M1919 [Sherman M4A3E2(76)]: 18, BROWNING M1919: 1, COAXIAL M1919 [M8 Greyhound]: 1, HULL M1919 [Sherman M4A3(75)W]: 1",https://server2.82nd.gg/#/gamescoreboard/29698
Steam ID,mK,71,20,3.55,13,1.0,0.28,2,0,1,1,13.00,1.00,Swellboy: 3,TATTOOine: 5,"MG42: 70, UNKNOWN: 1",https://server2.82nd.gg/#/gamescoreboard/29698
Steam ID,Thicccboye,73,31,2.35,12,0.94,0.4,3,0,0,0,7.00,1.00,_HighTunes_: 3,Golova: 5,"M1 GARAND: 53, M97 TRENCH GUN: 17, MK2 GRENADE: 2, UNKNOWN: 1",https://server2.82nd.gg/#/gamescoreboard/29697
Steam ID,Vinnuuu,154,10,15.4,76,1.77,0.11,2,7,1,1,17.00,3.00,Serman: 2,[BWCC] Ollie: 10,"150MM HOWITZER [sFH 18]: 146, MP40: 7, UNKNOWN: 1",https://server2.82nd.gg/#/gamescoreboard/29694
Steam ID,TRUMP2024,113,6,18.83,45,1.28,0.07,2,6,0,0,28.00,1.00,[82AD] Favouriteless: 2,XDroSaint: 7,"37MM CANNON [Stuart M5A1]: 48, 75MM CANNON [Sherman M4A3(75)W]: 39, COAXIAL M1919 [Sherman M4A3(75)W]: 10, COAXIAL M1919 [Stuart M5A1]: 10, HULL M1919 [Sherman M4A3(75)W]: 2, COLT M1911: 1, Opel Blitz (Transport): 1, M6 37mm [M8 Greyhound]: 1, HULL M1919 [Stuart M5A1]: 1",https://server2.82nd.gg/#/gamescoreboard/29694
Steam ID,Tangaterje,70,25,2.8,19,0.8,0.29,4,0,0,0,15.00,0.00,ScantyRadar: 4,"don't fly, travel by: 5","M1 GARAND: 69, BAZOOKA: 1",https://server2.82nd.gg/#/gamescoreboard/29655
Steam ID,OnesMore,71,8,8.88,20,1.64,0.19,2,0,0,0,10.00,1.00,[82AD] Biggles: 2,flipflops: 6,"KARABINER 98K: 48, STG44: 18, UNKNOWN: 3, PANZERSCHRECK: 2",https://server2.82nd.gg/#/gamescoreboard/29645
Steam ID,Misogi Kumagawa 球磨川,69,17,4.06,17,0.91,0.23,4,0,0,0,13.00,0.00,Vortex: 4,FanclubPL: 7,"KARABINER 98K: 63, WALTHER P38: 6",https://server2.82nd.gg/#/gamescoreboard/29643
Steam ID,Sniper_888,72,41,1.76,11,0.82,0.47,6,0,1,1,8.00,0.00,Amaretto: 4,Avocado: 4,"GEWEHR 43: 70, UNKNOWN: 2",https://server2.82nd.gg/#/gamescoreboard/29641
Steam ID,ThePunk,66,28,2.36,23,0.75,0.32,4,1,4,1,8.00,0.00,The Silent Centurion: 5,DragonFire212: 7,"GEWEHR 43: 60, M43 STIELHANDGRANATE: 6",https://server2.82nd.gg/#/gamescoreboard/29633
Steam ID,Tsavo,84,1,84,47,1.27,0.02,1,3,0,0,22.00,22.00,[WTH]mpitt: 1,BJ Racoon: 5,"150MM HOWITZER [sFH 18]: 83, M43 STIELHANDGRANATE: 1",https://server2.82nd.gg/#/gamescoreboard/29594
Steam ID,TheN0tS0mighty,84,24,3.5,23,1.09,0.31,3,0,1,1,10.00,1.00,PINK_PR1NCESS: 2,Munchies: 5,"GEWEHR 43: 77, WALTHER P38: 3, MP40: 2, UNKNOWN: 1, M43 STIELHANDGRANATE: 1",https://server2.82nd.gg/#/gamescoreboard/29575
Steam ID,ssd,76,10,7.6,37,0.83,0.11,3,1,0,0,16.00,2.00,TheN0tS0mighty: 1,Dwayne the Rockbotto: 5,"75MM M3 GUN [Sherman M4A3E2]: 30, 37MM CANNON [Stuart M5A1]: 20, COAXIAL M1919 [Sherman M4A3E2]: 7, COAXIAL M1919 [Stuart M5A1]: 5, M1918A2 BAR: 4, HULL M1919 [Stuart M5A1]: 3, HULL M1919 [Sherman M4A3E2(76)]: 2, 75MM CANNON [Sherman M4A3(75)W]: 1, Stuart M5A1: 1, COLT M1911: 1, HULL M1919: 1, HULL M1919 [Sherman M4A3(75)W]: 1",https://server2.82nd.gg/#/gamescoreboard/29575
Steam ID,Ronald Speirs.THC,71,12,5.92,14,0.86,0.14,2,0,0,0,15.00,1.00,derDude: 1,mr.mmm45445: 7,M1 GARAND: 71,https://server2.82nd.gg/#/gamescoreboard/29573
Steam ID,ventus,66,27,2.44,29,0.85,0.35,5,1,0,0,16.00,1.00,TriggerHappy: 3,Nut: 5,"BROWNING M1919: 52, M97 TRENCH GUN: 8, M1 CARBINE: 2, M1918A2 BAR: 2, M3 GREASE GUN: 2",https://server2.82nd.gg/#/gamescoreboard/29566
Steam ID,PuffDragon,65,16,4.06,17,0.89,0.22,6,0,0,0,16.00,1.00,[LS] KASON: 3,Chachingatan: 4,"M1 GARAND: 61, BAZOOKA: 4",https://server2.82nd.gg/#/gamescoreboard/29566
Steam ID,TenthDrake,79,13,6.08,32,1.03,0.17,3,13,1,1,15.00,1.00,Matticus Caesar: 3,TRman52: 5,"150MM HOWITZER [sFH 18]: 65, MP40: 7, M43 STIELHANDGRANATE: 5, KARABINER 98K: 2",https://server2.82nd.gg/#/gamescoreboard/29565
Steam ID,monolith,77,1,77,77,1.54,0.02,1,3,0,0,37.00,37.00,Luftwaffle: 1,red1der: 5,"150MM HOWITZER [sFH 18]: 74, KARABINER 98K: 2, UNKNOWN: 1",https://server2.82nd.gg/#/gamescoreboard/29564
Steam ID,PAR,74,12,6.17,35,1.1,0.18,3,0,0,0,23.00,1.00,Vrappydino: 4,BoJIoCbI_B_Hocy: 5,M1 GARAND: 74,https://server2.82nd.gg/#/gamescoreboard/29556
Steam ID,Wayrow,78,3,26,71,1.66,0.06,1,3,0,0,7.00,1.00,[DC] ReasoN: 1,MadLooK: 6,"75MM CANNON [Sd.Kfz.171 Panther]: 55, COAXIAL MG34 [Sd.Kfz.171 Panther]: 16, 20MM KWK 30 [Sd.Kfz.121 Luchs]: 4, WALTHER P38: 1, M8 Greyhound: 1, HULL MG34 [Sd.Kfz.171 Panther]: 1",https://server2.82nd.gg/#/gamescoreboard/29547
Steam ID,Toony,69,2,34.5,38,1.18,0.03,1,0,0,0,25.00,7.00,Llockie: 1,Kluckin_1: 5,"155MM HOWITZER [M114]: 59, M6 37mm [M8 Greyhound]: 7, COAXIAL M1919 [M8 Greyhound]: 3",https://server2.82nd.gg/#/gamescoreboard/29544
Steam ID,Spheres,66,2,33,55,0.75,0.02,1,8,0,0,79.00,7.00,Nils: 1,(WTH)Ograkk: 5,"76MM M1 GUN [Sherman M4A3E2(76)]: 43, COAXIAL M1919 [Sherman M4A3E2(76)]: 12, 75MM CANNON [Sherman M4A3(75)W]: 9, COAXIAL M1919 [Sherman M4A3(75)W]: 2",https://server2.82nd.gg/#/gamescoreboard/29538
