Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
[Tr] 喀喇昆仑卫士-wen,97,26,3.73,19,1.87,0.5,3,0,0,0,6.00,0.00,[ESPT] Shaka Zulu: 5,Adamski: 6,"MP40: 34, SATCHEL: 24, STG44: 19, GEWEHR 43: 13, S-MINE: 7",http://144.126.151.248:8010/#/gamescoreboard/8441
End,129,16,8.06,32,1.59,0.2,4,8,0,0,21.00,1.00,Steg The Stug Stug: 11,Perreho: 13,"150MM HOWITZER [sFH 18]: 124, GEWEHR 43: 4, UNKNOWN: 1",http://144.126.151.248:8010/#/gamescoreboard/8439
[ESPT] Mr. Wallace,74,34,2.18,13,1.02,0.47,6,0,0,0,6.00,0.00,[ESPT] PAXTON62: 4,Fallout Radio: 5,"M1 GARAND: 71, MK2 GRENADE: 3",http://144.126.151.248:8010/#/gamescoreboard/8439
IncognitoTab,67,27,2.48,14,0.94,0.38,2,0,1,1,7.00,0.00,PwnDepot: 4,WalterWhiteHOT199: 4,"M1 GARAND: 41, BROWNING M1919: 17, M1918A2 BAR: 6, M1A1 THOMPSON: 2, UNKNOWN: 1",http://144.126.151.248:8010/#/gamescoreboard/8439
[ESPT]Boomer,77,38,2.03,11,0.93,0.46,3,0,0,0,7.00,0.00,[ESPT] Kiwi: 5,ElvisPresLEY: 8,"M1 GARAND: 72, BAZOOKA: 3, UNKNOWN: 1, M1A1 THOMPSON: 1",http://144.126.151.248:8010/#/gamescoreboard/8438
[ESPT] Clownface,73,14,5.21,18,1.39,0.27,2,0,0,0,9.00,1.00,[ESPT] VRAG: 3,omi_faundez: 8,"M1 GARAND: 69, MK2 GRENADE: 4",http://144.126.151.248:8010/#/gamescoreboard/8438
[ESPT] VRAG,70,31,2.26,13,0.83,0.37,5,0,0,0,10.00,1.00,[ESPT] Valhalla: 5,PopcornLungs: 8,GEWEHR 43: 70,http://144.126.151.248:8010/#/gamescoreboard/8438
[Tr] 喀喇昆仑卫士-wen,65,19,3.42,10,0.77,0.22,3,2,0,0,13.00,1.00,Yeeting Otaku: 2,CHMA | conqueeftador: 7,"M1 GARAND: 29, 75MM CANNON [Sherman M4A3(75)W]: 12, M1918A2 BAR: 10, MK2 GRENADE: 6, BROWNING M1919: 5, 37MM CANNON [Stuart M5A1]: 2, BAZOOKA: 1",http://144.126.151.248:8010/#/gamescoreboard/8438
[ESPT] C o C o,75,20,3.75,12,1.26,0.34,3,0,2,1,5.00,1.00,Void | Crohny: 2,Jimmy: 6,"GEWEHR 43: 38, STG44: 21, MG42: 3, MP40: 3, SATCHEL: 3, KARABINER 98K: 3, UNKNOWN: 2, M43 STIELHANDGRANATE: 2",http://144.126.151.248:8010/#/gamescoreboard/8433
XIII Coldhate,74,13,5.69,12,1.25,0.22,2,0,1,1,13.00,0.00,[ESPT] Clownface: 2,MrTraceer: 6,"M1903 SPRINGFIELD: 70, COLT M1911: 3, UNKNOWN: 1",http://144.126.151.248:8010/#/gamescoreboard/8433
[ESPT] C o C o,78,32,2.44,18,0.87,0.36,5,0,0,0,6.00,0.00,Cpt. Chips [79thID]: 4,XIII Sea Tsar: 6,"M1 GARAND: 60, M3 GREASE GUN: 6, M97 TRENCH GUN: 5, M1A1 THOMPSON: 3, UNKNOWN: 2, BAZOOKA: 1, Sd.Kfz 251 Half-track: 1",http://144.126.151.248:8010/#/gamescoreboard/8431
[ESPT] rupert,75,29,2.59,13,0.83,0.32,4,1,0,0,7.00,1.00,XIII Coldhate: 3,Nubs133: 5,"M1 GARAND: 69, MK2 GRENADE: 6",http://144.126.151.248:8010/#/gamescoreboard/8431
[ESPT] Fortress,70,18,3.89,11,0.89,0.23,2,2,1,1,11.00,1.00,[ESPT] rupert: 3,jfry0606: 4,"GEWEHR 43: 56, MP40: 11, M43 STIELHANDGRANATE: 3",http://144.126.151.248:8010/#/gamescoreboard/8431
The Dude Man,73,5,14.6,62,1.52,0.1,2,1,0,0,20.00,1.00,Gary: 2,King Shayan: 7,"150MM HOWITZER [sFH 18]: 69, GEWEHR 43: 2, MP40: 1, M43 STIELHANDGRANATE: 1",http://144.126.151.248:8010/#/gamescoreboard/8418
[10thUS.B] Sgt. Eddi,82,23,3.57,38,0.95,0.27,4,4,0,0,27.00,0.00,Parts: 3,Scheissegalus: 6,"155MM HOWITZER [M114]: 60, M1 GARAND: 19, BAZOOKA: 3",http://144.126.151.248:8010/#/gamescoreboard/8415
NixFPS,67,34,1.97,17,0.74,0.38,4,0,0,0,12.00,0.00,Nitrox: 4,mathia420: 5,"M1 GARAND: 50, M1A1 THOMPSON: 11, COLT M1911: 4, MK2 GRENADE: 2",http://144.126.151.248:8010/#/gamescoreboard/8415
[ESPT] SCAV_Suka,120,41,2.93,15,1.38,0.47,4,0,0,0,6.00,0.00,-TL- Cheeks: 5,-TL- MunkMunk: 11,"STG44: 104, KARABINER 98K: 10, MP40: 2, TELLERMINE 43: 2, UNKNOWN: 1, M43 STIELHANDGRANATE: 1",http://144.126.151.248:8010/#/gamescoreboard/8414
[ESPT] Valhalla,94,52,1.81,10,1.07,0.59,3,0,0,0,5.00,0.00,-TL- Bhaskara: 6,-TL- Random: 9,"GEWEHR 43: 54, MG42: 16, MP40: 16, STG44: 4, S-MINE: 3, PANZERSCHRECK: 1",http://144.126.151.248:8010/#/gamescoreboard/8414
[ESPT] Clabsos,81,76,1.07,6,0.93,0.87,8,0,2,1,3.00,0.00,-TL- MunkMunk: 8,-TL- MunkMunk: 8,"STG44: 65, MP40: 9, GEWEHR 43: 7",http://144.126.151.248:8010/#/gamescoreboard/8414
[ESPT]amoll32513,77,37,2.08,16,0.89,0.43,5,4,0,0,12.00,0.00,-TL- soLucky!: 18,-TL- Gil: 7,"150MM HOWITZER [sFH 18]: 67, MP40: 8, GEWEHR 43: 2",http://144.126.151.248:8010/#/gamescoreboard/8414
[ESPT] Shaka Zulu,72,36,2,8,0.82,0.41,5,0,0,0,9.00,0.00,-TL- Soviet Slug: 4,-TL- Boojaj: 8,"GEWEHR 43: 71, M43 STIELHANDGRANATE: 1",http://144.126.151.248:8010/#/gamescoreboard/8414
-TL- soLucky!,71,27,2.63,8,0.81,0.31,3,0,0,0,11.00,0.00,[ESPT] Kryonic;: 8,[ESPT]amoll32513: 18,"M1903 SPRINGFIELD: 64, M1 GARAND: 4, MK2 GRENADE: 2, COLT M1911: 1",http://144.126.151.248:8010/#/gamescoreboard/8414
[ESPT] Fortress,71,33,2.15,9,0.8,0.37,3,0,0,0,7.00,1.00,-TL- Bloody-Nine: 6,-TL- Hobbes: 6,"MG42: 52, KARABINER 98K: 9, STG44: 7, MP40: 2, GEWEHR 43: 1",http://144.126.151.248:8010/#/gamescoreboard/8414
[ESPT] NothingTooFan,71,51,1.39,8,0.82,0.59,5,0,1,1,4.00,0.00,-TL- Δτгσςιτψ: 8,-TL- Commando Jenkin: 7,"STG44: 65, MP40: 1, S-MINE: 1, SATCHEL: 1, GEWEHR 43: 1, KARABINER 98K: 1, PANZERSCHRECK: 1",http://144.126.151.248:8010/#/gamescoreboard/8414
[ESPT] AkuHitman,67,21,3.19,14,0.76,0.24,5,5,0,0,11.00,0.00,-TL- soLucky!: 10,-TL- Commando Jenkin: 6,"150MM HOWITZER [sFH 18]: 62, MP40: 5",http://144.126.151.248:8010/#/gamescoreboard/8414
-TL- BrosefStalin,67,56,1.2,5,0.76,0.64,4,0,1,1,4.00,0.00,[ESPT] Wumbolo: 6,[ESPT] Excel: 10,M1 GARAND: 67,http://144.126.151.248:8010/#/gamescoreboard/8414
[ESPT] TaKaHara,67,44,1.52,7,0.76,0.5,5,0,0,0,6.00,0.00,-TL- Hansolocups ❆: 5,-TL- Boojaj: 8,"GEWEHR 43: 51, STG44: 6, MP40: 4, SATCHEL: 3, KARABINER 98K: 1, PANZERSCHRECK: 1, M43 STIELHANDGRANATE: 1",http://144.126.151.248:8010/#/gamescoreboard/8414
[ESPT] Invader,67,31,2.16,8,0.76,0.35,3,0,0,0,7.00,1.00,-TL- z4ph0d: 5,-TL- Mage: 14,"FG42 x4: 64, S-MINE: 2, PANZERSCHRECK: 1",http://144.126.151.248:8010/#/gamescoreboard/8414
-TL- Fillbolbi,65,57,1.14,8,0.74,0.65,5,0,0,0,5.00,0.00,[ESPT] Burger: 7,[ESPT] TheWhiz-: 9,"M1 GARAND: 62, MK2 GRENADE: 2, M1918A2 BAR: 1",http://144.126.151.248:8010/#/gamescoreboard/8414
TheKuddleKing,78,28,2.79,15,0.9,0.32,5,1,0,0,10.00,1.00,GucciRag: 4,Schwifty: 6,"BROWNING M1919: 76, UNKNOWN: 2",http://144.126.151.248:8010/#/gamescoreboard/8412
Thunder_bolt,69,3,23,26,0.81,0.04,1,4,0,0,32.00,18.00,Tsuraisang: 1,ROGUEWOLF421: 5,"37MM CANNON [Stuart M5A1]: 31, 76MM M1 GUN [Sherman M4A3E2(76)]: 16, 75MM CANNON [Sherman M4A3(75)W]: 9, COAXIAL M1919 [Stuart M5A1]: 7, COAXIAL M1919 [Sherman M4A3(75)W]: 5, COAXIAL M1919 [Sherman M4A3E2(76)]: 1",http://144.126.151.248:8010/#/gamescoreboard/8412
Bawkz,66,9,7.33,27,1.09,0.15,2,0,0,0,10.00,2.00,GreedyDuck: 2,[ESPT] VOLDIMIR: 7,"M1903 SPRINGFIELD: 54, M3 GREASE GUN: 5, M1 GARAND: 4, BAZOOKA: 3",http://144.126.151.248:8010/#/gamescoreboard/8412
[ESPT] WimZy,109,32,3.41,59,1.25,0.37,5,3,0,0,8.00,0.00,[ESPT] Lost: 8,[ESPT] Excel: 8,"150MM HOWITZER [sFH 18]: 64, GEWEHR 43: 45",http://144.126.151.248:8010/#/gamescoreboard/8391
Cali,85,8,10.62,50,0.96,0.09,5,3,0,0,36.00,1.00,Forgotten: 2,HailCorduroy: 5,"150MM HOWITZER [sFH 18]: 84, UNKNOWN: 1",http://144.126.151.248:8010/#/gamescoreboard/8391
[ESPR] Merkage,71,41,1.73,10,0.82,0.47,10,0,0,0,6.00,0.00,[ESPT] Sheller3: 5,[ESPR] spitfire21: 6,"M1 GARAND: 67, BAZOOKA: 2, UNKNOWN: 1, MK2 GRENADE: 1",http://144.126.151.248:8010/#/gamescoreboard/8391
[ESPT] SAP,65,21,3.1,11,0.79,0.26,3,0,0,0,9.00,0.00,haoslse: 3,Tr33sus: 5,"M1 GARAND: 63, UNKNOWN: 1, MK2 GRENADE: 1",http://144.126.151.248:8010/#/gamescoreboard/8391
[ESPT] Valhalla,80,15,5.33,19,1.18,0.22,3,0,0,0,15.00,1.00,pink huggy bear: 5,QueenPomm: 6,"M1903 SPRINGFIELD: 77, MK2 GRENADE: 2, UNKNOWN: 1",http://144.126.151.248:8010/#/gamescoreboard/8378
[ESPT] Joh,70,13,5.38,16,1.05,0.19,3,1,1,1,10.00,0.00,IAN: 3,Fort Master Goose: 7,"GEWEHR 43: 66, M43 STIELHANDGRANATE: 4",http://144.126.151.248:8010/#/gamescoreboard/8378
[ESPT] Valhalla,70,10,7,16,1.04,0.15,1,0,0,0,11.00,1.00,[ESPT] Joh: 2,HIMSELF: 6,"FG42 x4: 43, KARABINER 98K x8: 23, S-MINE: 4",http://144.126.151.248:8010/#/gamescoreboard/8376
