Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
🅶 I|I indy?,88,3,29.33,55,1.01,0.03,1,3,0,0,53.00,6.00,Gensui_Maarten: 1,Hightower: 6,"76MM M1 GUN [Sherman M4A3E2(76)]: 60, 75MM CANNON [Sherman M4A3(75)W]: 11, COAXIAL M1919 [Sherman M4A3(75)W]: 8, COAXIAL M1919 [Sherman M4A3E2(76)]: 8, Sd.Kfz.181 Tiger 1: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/2396
phx.vistarrk,125,33,3.79,15,1.56,0.41,3,0,0,0,9.00,0.00,Gecko*: 3,Kohlrabikatze: 7,"M1 GARAND: 120, MK2 GRENADE: 5",http://teamphx.dynv6.net:8010/#/gamescoreboard/2394
Gecko*,77,20,3.85,18,1.61,0.42,3,0,0,0,8.00,1.00,🅶 I|I Richthofen: 4,S I T E: 6,GEWEHR 43: 77,http://teamphx.dynv6.net:8010/#/gamescoreboard/2394
phx.limette,65,27,2.41,9,0.74,0.31,2,2,0,0,17.00,0.00,die_Schnekke: 4,Duchamp: 9,"MP40: 33, GEWEHR 43: 21, SATCHEL: 10, M43 STIELHANDGRANATE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/2339
CoRe | GoldDragon62,82,21,3.9,16,1.34,0.34,3,2,2,1,7.00,1.00,Steini: 3,Gloomy Crusty: 7,"M1 GARAND: 79, MK2 GRENADE: 3",http://teamphx.dynv6.net:8010/#/gamescoreboard/2336
Ope,76,1,76,61,1.41,0.02,1,3,0,0,37.00,37.00,CoRe | mohtyy: 1,Capt.Iglo: 6,"75MM CANNON [Sd.Kfz.171 Panther]: 55, COAXIAL MG34 [Sd.Kfz.171 Panther]: 19, M2 AP MINE: 1, GMC CCKW 353 (Supply): 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/2336
[1.Fjg] ✠Shadow✠,70,6,11.67,56,1.15,0.1,1,2,0,0,26.00,3.00,kekz: 2,Sekushīna saru: 6,"150MM HOWITZER [sFH 18]: 56, MG42: 13, LUGER P08: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/2334
🅶 I|I Käv,68,14,4.86,26,1.39,0.29,2,0,0,0,12.00,1.00,Fluefo: 3,FlatEric: 5,"M1 GARAND: 64, MK2 GRENADE: 4",http://teamphx.dynv6.net:8010/#/gamescoreboard/2317
phx.DEVO,66,30,2.2,13,0.75,0.34,4,0,0,0,9.00,1.00,F4keblood: 4,M^7L: 4,"PPSH 41 W/DRUM: 61, RG-42 GRENADE: 4, UNKNOWN: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/2288
GDE Cuni,118,23,5.13,56,1.32,0.26,4,3,0,0,30.00,0.00,[NGR] johempi98: 12,[NGR] johempi98: 8,"150MM HOWITZER [sFH 18]: 103, GEWEHR 43: 13, M43 STIELHANDGRANATE: 2",http://teamphx.dynv6.net:8010/#/gamescoreboard/2278
[AX] Nemesis Zero,106,38,2.79,21,1.2,0.43,4,0,1,1,11.00,1.00,91.PzG| bliNk: 4,FCM: 6,"M1918A2 BAR: 76, M1 GARAND: 14, M1 CARBINE: 7, M1A1 THOMPSON: 4, M3 KNIFE: 2, MK2 GRENADE: 2, UNKNOWN: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/2278
EDDIE_2Fast,69,16,4.31,14,0.79,0.18,2,0,0,0,17.00,1.00,phx.LikeanOpa: 2,=CCF= Bundi: 6,"KARABINER 98K x8: 67, WALTHER P38: 1, M43 STIELHANDGRANATE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/2278
l0usen,68,22,3.09,37,0.78,0.25,7,7,0,0,28.00,1.00,[NGR] johempi98: 17,['SIG'] LaugeGipfeli: 5,"150MM HOWITZER [sFH 18]: 62, GEWEHR 43: 6",http://teamphx.dynv6.net:8010/#/gamescoreboard/2278
JuicyB.,67,2,33.5,30,0.79,0.02,1,9,0,0,44.00,16.00,EDDIE_2Fast: 1,Igelwebel20: 7,"155MM HOWITZER [M114]: 65, M1 GARAND: 1, TELLERMINE 43: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/2278
CONVEEN,145,3,48.33,111,1.63,0.03,2,4,0,0,73.00,1.00,pudge spencer: 3,Mio: 12,"150MM HOWITZER [sFH 18]: 144, M2 AP MINE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/2272
CoRe | Nero,121,43,2.81,22,1.37,0.49,3,0,0,0,5.00,0.00,pixelsmasher: 5,91.PzG| Konisch: 9,"M1 GARAND: 119, MK2 GRENADE: 2",http://teamphx.dynv6.net:8010/#/gamescoreboard/2272
CoRe | Flieder',103,48,2.15,16,1.18,0.55,5,0,0,0,7.00,0.00,CONVEEN: 7,dean.schoepfer: 7,"M1 GARAND: 95, BAZOOKA: 5, UNKNOWN: 2, MK2 GRENADE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/2272
CoRe | Zoom,99,36,2.75,23,1.13,0.41,4,1,0,0,12.00,0.00,CoRe | Nero: 7,CoRe | JPWonderchild: 9,"GEWEHR 43: 97, UNKNOWN: 1, M43 STIELHANDGRANATE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/2272
CoRe | Bommmel#!1,97,45,2.16,14,1.11,0.51,6,2,0,0,5.00,1.00,CoRe | JPWonderchild: 4,baronislav: 6,"STG44: 62, GEWEHR 43: 18, SATCHEL: 6, MP40: 3, KARABINER 98K: 3, M43 STIELHANDGRANATE: 3, UNKNOWN: 2",http://teamphx.dynv6.net:8010/#/gamescoreboard/2272
[StDb] shanx,89,4,22.25,41,1.02,0.05,1,0,0,0,31.00,5.00,jerICho: 1,Steini: 7,"76MM M1 GUN [Sherman M4A3E2(76)]: 65, COAXIAL M1919 [Sherman M4A3E2(76)]: 20, 75MM CANNON [Sherman M4A3(75)W]: 3, Opel Blitz (Supply): 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/2272
