Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
Shizune,81,4,20.25,60,1.09,0.05,1,2,0,0,38.00,5.00,TimFinnegan: 1,Ocelot: 4,"75MM CANNON [Sherman M4A3(75)W]: 31, COAXIAL M1919 [Sherman M4A3(75)W]: 19, 37MM CANNON [Stuart M5A1]: 10, COAXIAL M1919 [Sherman M4A3E2(76)]: 10, 76MM M1 GUN [Sherman M4A3E2(76)]: 8, COAXIAL M1919 [Stuart M5A1]: 3",http://178.18.254.195:8010/#/gamescoreboard/5166
S.S.O. | Petrus,65,11,5.91,19,0.88,0.15,2,1,0,0,14.00,1.00,ZigZag: 2,Arthasus: 4,"BOMBING RUN: 43, M1 GARAND: 17, M3 KNIFE: 2, PRECISION STRIKE: 2, M1A1 THOMPSON: 1",http://178.18.254.195:8010/#/gamescoreboard/5166
WeBe,91,2,45.5,76,1.05,0.02,1,0,0,0,18.00,11.00,(SDI)SSgt.Wolf: 1,Ricky: 10,"KARABINER 98K x8: 84, FG42 x4: 7",http://178.18.254.195:8010/#/gamescoreboard/5161
ArchAngel [UA],70,15,4.67,58,0.8,0.17,4,3,1,1,26.00,1.00,WaTaHa || Lukar: 2,Maester ◢◤: 5,"75MM CANNON [Sd.Kfz.161 Panzer IV]: 60, STG44: 4, M1A1 AT MINE: 2, M43 STIELHANDGRANATE: 2, COAXIAL MG34 [Sd.Kfz.181 Tiger 1]: 2",http://178.18.254.195:8010/#/gamescoreboard/5152
Robin52905,67,39,1.72,13,0.77,0.45,4,0,2,1,6.00,1.00,Pyro: 3,EmElo: 4,"GEWEHR 43: 22, MP40: 12, STG44: 11, KARABINER 98K: 11, MG42: 5, WALTHER P38: 3, M43 STIELHANDGRANATE: 3",http://178.18.254.195:8010/#/gamescoreboard/5152
Matełka[PL],83,21,3.95,17,0.94,0.24,3,0,1,1,16.00,0.00,R.E.N.: 3,Amper_PL: 9,"MG42: 46, KARABINER 98K: 23, PANZERSCHRECK: 6, LUGER P08: 5, FELDSPATEN: 2, M43 STIELHANDGRANATE: 1",http://178.18.254.195:8010/#/gamescoreboard/5151
S.S.O. | naften,66,5,13.2,27,0.76,0.06,1,3,0,0,32.00,6.00,Mega Kret 4040: 2,WaTaHa || Niedźwiedź: 9,"GEWEHR 43: 57, STRAFING RUN: 7, BOMBING RUN: 2",http://178.18.254.195:8010/#/gamescoreboard/5149
AKA-corne,83,21,3.95,23,0.91,0.23,5,3,2,1,17.00,0.00,WaTaHa || Niedźwiedź: 5,OnyxN7: 8,"122MM HOWITZER [M1938 (M-30)]: 36, DP-27: 21, SVT40: 19, MOSIN NAGANT 91/30: 6, PTRS-41: 1",http://178.18.254.195:8010/#/gamescoreboard/5137
Amper_PL,70,4,17.5,26,0.79,0.05,2,20,0,0,13.00,4.00,CRAXA: 1,kaluch stunt: 4,"Unknown: 67, PPSH 41: 1, TM-35 AT MINE: 1, PPSH 41 W/DRUM: 1",http://178.18.254.195:8010/#/gamescoreboard/5137
blacky ghost,65,42,1.55,7,0.74,0.48,5,0,1,1,6.00,1.00,AKA-corne: 5,S.S.O. | piachy18: 4,"STG44: 61, UNKNOWN: 2, M43 STIELHANDGRANATE: 2",http://178.18.254.195:8010/#/gamescoreboard/5137
