Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
🆁 (WTH) Frazzle,128,48,2.67,21,1.45,0.54,7,8,0,0,8.00,0.00,[PHX] Corrigain_Cor: 15,[StDb] Banzai: 10,"150MM HOWITZER [sFH 18]: 114, GEWEHR 43: 12, M43 STIELHANDGRANATE: 2",http://144.91.71.61:8040/#/gamescoreboard/14948
(WTH) GodFella,98,5,19.6,38,1.11,0.06,2,1,0,0,33.00,4.00,[StDb] Kyokona: 3,[StDb] Amazing: 8,"75MM CANNON [Sd.Kfz.171 Panther]: 56, COAXIAL MG34 [Sd.Kfz.171 Panther]: 29, 75MM CANNON [Sd.Kfz.161 Panzer IV]: 12, COAXIAL MG34 [Sd.Kfz.161 Panzer IV]: 1",http://144.91.71.61:8040/#/gamescoreboard/14948
(WTH) ㋡ CRUSADΣRXX ❀,91,49,1.86,12,1.04,0.56,5,0,1,1,7.00,0.00,olu: 4,WernerVos: 8,"GEWEHR 43: 51, STG44: 23, KARABINER 98K: 12, SATCHEL: 2, UNKNOWN: 1, PANZERSCHRECK: 1, M43 STIELHANDGRANATE: 1",http://144.91.71.61:8040/#/gamescoreboard/14948
(WTH) GΣRMANXX ❀,90,62,1.45,7,1.02,0.7,6,2,2,1,5.00,0.00,[StDb] Big L: 11,[StDb] Big L: 9,"STG44: 32, SATCHEL: 19, MG42: 15, MP40: 13, M43 STIELHANDGRANATE: 8, GEWEHR 43: 3",http://144.91.71.61:8040/#/gamescoreboard/14948
(WTH) Incognito,85,21,4.05,14,0.95,0.23,4,0,0,0,16.00,0.00,Pressurescout: 3,[StDb] Bo Frost: 6,"MG42: 83, LUGER P08: 2",http://144.91.71.61:8040/#/gamescoreboard/14948
(WTH) tLa,84,42,2,17,0.96,0.48,4,0,0,0,13.00,0.00,[StDb] Düsentrieb: 3,[StDb] KAISER Mtbb: 8,KARABINER 98K x8: 84,http://144.91.71.61:8040/#/gamescoreboard/14948
jAYhöVäH,82,40,2.05,27,0.94,0.46,7,3,0,0,12.00,1.00,(WTH) Blitzoi: 20,(WTH) Orbit: 11,"155MM HOWITZER [M114]: 80, M1 GARAND: 2",http://144.91.71.61:8040/#/gamescoreboard/14948
[StDb]marsmyk,80,39,2.05,23,0.92,0.45,4,0,0,0,15.00,0.00,(WTH) Aleksey: 4,(WTH) kugu: 11,"BROWNING M1919: 60, M1 GARAND: 9, MK2 GRENADE: 7, M1A1 THOMPSON: 4",http://144.91.71.61:8040/#/gamescoreboard/14948
(WTH) Duba,79,42,1.88,7,0.91,0.48,3,0,2,1,7.00,1.00,[StDb] dASbEIN: 5,[StDb] dASbEIN: 10,"GEWEHR 43: 50, KARABINER 98K: 12, MP40: 9, STG44: 6, SATCHEL: 1, UNKNOWN: 1",http://144.91.71.61:8040/#/gamescoreboard/14948
(WTH) Jockey,77,37,2.08,10,0.88,0.42,2,0,0,0,6.00,0.00,[StDb] Luc: 6,[StDb] ludiga: 9,"GEWEHR 43: 75, UNKNOWN: 1, M43 STIELHANDGRANATE: 1",http://144.91.71.61:8040/#/gamescoreboard/14948
(WTH) Svin,71,79,0.9,6,0.82,0.91,10,2,2,1,5.00,0.00,jAYhöVäH: 10,[StDb] Düsentrieb: 7,"STG44: 36, GEWEHR 43: 27, M43 STIELHANDGRANATE: 3, MP40: 2, SATCHEL: 2, FELDSPATEN: 1",http://144.91.71.61:8040/#/gamescoreboard/14948
(WTH) Blitzoi,66,12,5.5,34,0.76,0.14,3,0,1,1,33.00,0.00,[StDb] dASbEIN: 2,jAYhöVäH: 20,"PANZERSCHRECK: 59, KARABINER 98K: 4, MP40: 3",http://144.91.71.61:8040/#/gamescoreboard/14948
[StDb] KAISER Mtbb,65,70,0.93,5,0.75,0.8,6,0,0,0,4.00,0.00,(WTH) tLa: 8,(WTH) Svin: 5,"M1 GARAND: 60, BAZOOKA: 2, MK2 GRENADE: 2, BROWNING M1919: 1",http://144.91.71.61:8040/#/gamescoreboard/14948
